Order_ID,Order_Date,Customer_ID,Customer_Age,Gender,Region,Category,Sub_Category,Quantity,Unit_Price,Discount,Sales,Profit
ORD-1000,10-11-2024,CUST-309,29,Male,West,Office Supplies,Binders,7,225.69,0,1579.83,168.51
ORD-1001,16-03-2024,CUST-561,35,Female,East,Technology,Copiers,2,95,0,190,7.01
ORD-1002,01-12-2023,CUST-274,45,Male,Central,Office Supplies,Storage,3,194.32,0.3,408.07,44.91
ORD-1003,14-01-2022,CUST-455,49,Female,Central,Technology,Copiers,2,195.78,0,391.56,1.53
ORD-1004,04-02-2022,CUST-402,73,Female,East,Office Supplies,Art,1,133.1,0.15,113.14,4.56
ORD-1005,21-07-2022,CUST-296,54,Male,South,Technology,Accessories,4,300.96,0.3,842.69,-50.71
ORD-1006,04-12-2022,CUST-521,28,Male,East,Technology,Phones,5,295.44,0.3,1034.04,179.06
ORD-1007,10-10-2023,CUST-379,27,Male,East,Technology,Copiers,8,11.97,0,95.76,21.08
ORD-1008,14-10-2024,CUST-99,37,Female,South,Furniture,Bookcases,9,457.91,0.2,3296.95,337.12
ORD-1009,18-08-2024,CUST-398,30,Female,Central,Office Supplies,Paper,3,64.2,0.15,163.71,39.68
ORD-1010,26-07-2022,CUST-171,50,Male,Central,Office Supplies,Binders,3,20.56,0.1,55.51,2.3
ORD-1011,01-08-2023,CUST-331,40,Female,West,Furniture,Chairs,9,57.22,0.1,463.48,-0.79
ORD-1012,09-07-2022,CUST-411,23,Female,South,Office Supplies,Storage,1,139.71,0.1,125.74,-12.54
ORD-1013,15-11-2023,CUST-113,27,Male,South,Office Supplies,Binders,8,471.74,0,3773.92,503.65
ORD-1014,18-07-2023,CUST-566,41,Female,South,Furniture,Tables,7,251.14,0,1757.98,49.54
ORD-1015,20-01-2023,CUST-247,34,Female,South,Furniture,Sofas,3,341.95,0.1,923.26,93.71
ORD-1016,03-05-2022,CUST-201,47,Female,South,Office Supplies,Storage,1,365.47,0,365.47,67.44
ORD-1017,09-04-2023,CUST-147,66,Male,Central,Office Supplies,Paper,3,297.49,0.15,758.6,-70.2
ORD-1018,04-05-2023,CUST-415,54,Female,Central,Office Supplies,Storage,1,201.8,0.1,181.62,50.3
ORD-1019,20-09-2022,CUST-453,50,Female,South,Technology,Machines,9,260.73,0,2346.57,817.34
ORD-1020,11-10-2024,CUST-587,36,Male,South,Technology,Machines,9,143.04,0.15,1094.26,307.48
ORD-1021,14-04-2022,CUST-338,52,Male,East,Technology,Copiers,4,292.44,0,1169.76,377.9
ORD-1022,14-08-2024,CUST-195,34,Female,Central,Office Supplies,Storage,9,92.08,0,828.72,101.31
ORD-1023,19-11-2023,CUST-563,26,Female,East,Office Supplies,Binders,3,319.98,0,959.94,158.81
ORD-1024,27-01-2022,CUST-516,35,Female,Central,Technology,Machines,2,178.29,0.1,320.92,64.51
ORD-1025,17-01-2022,CUST-302,46,Male,East,Furniture,Chairs,5,442.33,0.15,1879.9,618.27
ORD-1026,01-12-2023,CUST-566,38,Female,East,Technology,Machines,1,42.3,0,42.3,-0.6
ORD-1027,17-11-2023,CUST-490,19,Male,Central,Office Supplies,Art,8,108.41,0.15,737.19,45.26
ORD-1028,03-09-2022,CUST-321,46,Male,South,Technology,Phones,7,150.33,0.2,841.85,222.71
ORD-1029,04-02-2023,CUST-51,75,Male,Central,Furniture,Tables,3,172.31,0,516.93,-29.83
ORD-1030,30-05-2022,CUST-572,18,Female,East,Office Supplies,Storage,6,128.87,0,773.22,28.2
ORD-1031,13-02-2024,CUST-370,45,Female,East,Furniture,Chairs,4,208.62,0.15,709.31,-26.77
ORD-1032,19-10-2023,CUST-58,46,Male,East,Office Supplies,Paper,8,139.06,0.1,1001.23,-64.77
ORD-1033,12-03-2024,CUST-447,50,Female,East,Technology,Machines,6,358.72,0.15,1829.47,47.51
ORD-1034,04-09-2022,CUST-218,45,Female,South,Office Supplies,Binders,3,127.63,0,382.89,92.29
ORD-1035,05-07-2023,CUST-100,49,Female,West,Technology,Phones,4,90.73,0.1,326.63,25.91
ORD-1036,01-02-2024,CUST-475,37,Female,South,Furniture,Bookcases,3,254.05,0.2,609.72,119.76
ORD-1037,21-11-2023,CUST-577,40,Male,South,Technology,Copiers,3,323.43,0.1,873.26,127.08
ORD-1038,02-12-2024,CUST-418,26,Female,West,Technology,Accessories,2,24.29,0.1,43.72,2.25
ORD-1039,05-04-2024,CUST-394,58,Male,East,Office Supplies,Storage,5,177.43,0.3,621,-51.15
ORD-1040,11-07-2022,CUST-37,31,Female,South,Office Supplies,Art,3,495.3,0.1,1337.31,90.15
ORD-1041,06-10-2022,CUST-342,53,Female,South,Furniture,Bookcases,9,122.93,0,1106.37,155.39
ORD-1042,26-06-2022,CUST-506,43,Female,South,Office Supplies,Storage,4,10.36,0.3,29.01,-1.71
ORD-1043,28-12-2024,CUST-144,38,Male,Central,Office Supplies,Binders,3,303.21,0.1,818.67,-3.5
ORD-1044,01-12-2024,CUST-9,61,Male,South,Technology,Phones,7,497.99,0,3485.93,807.57
ORD-1045,01-07-2024,CUST-194,44,Female,Central,Technology,Copiers,6,46.63,0.15,237.81,-15.99
ORD-1046,05-12-2022,CUST-445,32,Male,Central,Furniture,Chairs,8,190.26,0,1522.08,404.51
ORD-1047,01-04-2022,CUST-58,56,Female,West,Office Supplies,Storage,3,60.04,0.1,162.11,-15.38
ORD-1048,08-04-2024,CUST-117,33,Male,South,Technology,Copiers,9,373.38,0.15,2856.36,19.65
ORD-1049,16-11-2023,CUST-532,18,Female,Central,Technology,Copiers,5,26.48,0.3,92.68,29.06
ORD-1050,18-10-2023,CUST-8,38,Female,East,Furniture,Bookcases,7,27.5,0,192.5,63.08
ORD-1051,31-03-2022,CUST-502,51,Male,South,Furniture,Sofas,8,179.91,0.1,1295.35,-84.22
ORD-1052,17-07-2024,CUST-242,24,Female,West,Furniture,Chairs,5,407.83,0.15,1733.28,-46.49
ORD-1053,12-10-2024,CUST-282,61,Male,East,Office Supplies,Binders,1,389.91,0.1,350.92,120.5
ORD-1054,06-04-2024,CUST-437,38,Female,South,Office Supplies,Paper,1,419.97,0.1,377.97,32.76
ORD-1055,08-11-2023,CUST-446,39,Male,East,Office Supplies,Binders,3,127.44,0.1,344.09,-14.41
ORD-1056,03-02-2022,CUST-236,33,Male,West,Technology,Copiers,8,15.98,0.1,115.06,13.15
ORD-1057,02-02-2024,CUST-578,50,Male,East,Office Supplies,Paper,9,297.03,0.1,2405.94,214.71
ORD-1058,03-02-2024,CUST-166,50,Female,East,Technology,Machines,2,178.54,0.1,321.37,24.59
ORD-1059,16-10-2024,CUST-401,38,Female,South,Office Supplies,Storage,7,264.18,0.15,1571.87,406.19
ORD-1060,10-09-2024,CUST-183,24,Male,Central,Office Supplies,Art,5,490.12,0.1,2205.54,105.73
ORD-1061,18-06-2024,CUST-61,48,Male,East,Office Supplies,Storage,8,349.77,0.1,2518.34,738.99
ORD-1062,25-10-2024,CUST-546,38,Female,West,Furniture,Bookcases,2,142.9,0,285.8,-17.17
ORD-1063,04-03-2024,CUST-48,27,Male,Central,Furniture,Tables,9,243.17,0.15,1860.25,242.29
ORD-1064,14-03-2024,CUST-28,49,Female,West,Furniture,Tables,1,46.84,0.1,42.16,14.5
ORD-1065,31-12-2022,CUST-508,40,Male,Central,Office Supplies,Art,8,70.89,0.15,482.05,134.97
ORD-1066,16-03-2024,CUST-86,43,Male,Central,Furniture,Tables,3,201.6,0,604.8,140.21
ORD-1067,21-06-2023,CUST-146,24,Male,East,Office Supplies,Art,1,174.75,0.1,157.28,9.4
ORD-1068,03-02-2022,CUST-443,48,Female,West,Furniture,Bookcases,8,295.34,0.1,2126.45,149.8
ORD-1069,24-10-2023,CUST-350,36,Male,West,Office Supplies,Binders,5,80.67,0,403.35,-11.17
ORD-1070,29-01-2024,CUST-4,37,Female,Central,Furniture,Bookcases,3,264.63,0.1,714.5,244.41
ORD-1071,30-05-2024,CUST-26,29,Male,South,Furniture,Tables,8,362.83,0.2,2322.11,518.54
ORD-1072,22-11-2022,CUST-550,62,Female,South,Office Supplies,Art,6,356.92,0,2141.52,495.36
ORD-1073,24-04-2024,CUST-172,43,Male,West,Office Supplies,Storage,3,30.65,0,91.95,-3.63
ORD-1074,17-11-2022,CUST-581,,Male,East,Furniture,Sofas,5,6.34,0,31.7,3.58
ORD-1075,30-11-2022,CUST-296,45,Male,East,Technology,Copiers,5,366.78,0.3,1283.73,-23.68
ORD-1076,22-05-2024,CUST-132,46,Female,West,Technology,Copiers,5,104.81,0,524.05,-13.67
ORD-1077,30-03-2022,CUST-422,52,Male,East,Office Supplies,Paper,2,409.22,0.1,736.6,51.29
ORD-1078,23-05-2022,CUST-198,50,Male,Central,Office Supplies,Storage,1,119.95,0.2,95.96,6.98
ORD-1079,08-07-2023,CUST-420,41,Male,Central,Technology,Machines,4,398.04,0.1,1432.94,200.69
ORD-1080,17-10-2024,CUST-118,39,Female,East,Technology,Phones,5,390.39,0,1951.95,-15.53
ORD-1081,25-03-2024,CUST-157,62,Female,East,Technology,Machines,4,231.22,0.1,832.39,104.91
ORD-1082,10-05-2022,CUST-550,27,Female,South,Furniture,Sofas,3,348.5,0.1,940.95,12.52
ORD-1083,25-03-2024,CUST-460,33,Female,Central,Furniture,Bookcases,8,255.41,0.1,1838.95,-168.91
